10:37:45.036 |I| Core                           | RequestBuilder thread:7        | MsBuild process with Id = 9016
10:37:45.038 |I| Core                           | RequestBuilder thread:7        | MsBuild location = C:\Program Files (x86)\Microsoft Visual Studio\2019\Community\MSBuild\Current\Bin\MSBuild.exe
10:37:45.039 |I| Core                           | RequestBuilder thread:7        | ServerGC = False
10:37:45.039 |I| Core                           | RequestBuilder thread:7        | 
10:37:45.039 |I| Core                           | RequestBuilder thread:7        | Start ControllerTask...
10:37:45.040 |I| Core                           | RequestBuilder thread:7        | Detected version: 16.11
10:37:45.042 |I| Core                           | RequestBuilder thread:7        | Creating SocketWire with port = 62293
10:37:45.067 |I| Core                           | RequestBuilder thread:7        | Create protocol...
10:37:45.113 |I| Core                           | RequestBuilder thread:7        | Create MsBuildModel and advise for new sessions...
10:37:45.139 |I| Core                           | RequestBuilder thread:7        | Subscribe for changes...
10:37:45.140 |I| Core                           | RequestBuilder thread:7        | Setup process watchdog...
10:37:45.142 |I| Core                           | RequestBuilder thread:7        | Run dispatcher...
10:37:45.144 |I| ProcessWatchdog                | WatchParentPid:2416:11         | Monitoring parent process PID:2416
10:37:45.262 |I| Core                           | RequestBuilder thread:7        | Get protocol session 'RdProjectModelSession'
10:37:45.267 |I| Core                           | RequestBuilder thread:7        | Msbuild session 'ProjectModelSessionHost' created
10:37:45.323 |I| ProjectModel                   | RequestBuilder thread:7        | Reloading 67 project(s) in 1 node(s)...
10:37:45.324 |I| ProjectModel                   | RequestBuilder thread:7        | Reason: ColdStartup
10:37:45.328 |I| Build                          | :3                             | Build started.
10:37:45.336 |I| BuildQueue                     | RequestBuilder thread:7        | Build queue: False
10:37:46.197 |I| ProjectModel                   | RequestBuilder thread:7        | Project 'UnityEngine.SpatialTracking.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
10:37:46.198 |I| BuildQueue                     | RequestBuilder thread:7        | Build immediately: UnityEngine.SpatialTracking.csproj
10:37:46.200 |I| Build                          | RequestBuilder thread:7        | Start build 'UnityEngine.SpatialTracking.csproj' with 1 target frameworks
10:37:46.202 |I| Build                          | RequestBuilder thread:7        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
10:37:46.204 |I| ProjectModel                   | RequestBuilder thread:7        | Project 'UnityEngine.SpatialTracking.Player.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
10:37:46.204 |I| BuildQueue                     | RequestBuilder thread:7        | Build immediately: UnityEngine.SpatialTracking.Player.csproj
10:37:46.204 |I| Build                          | RequestBuilder thread:7        | Start build 'UnityEngine.SpatialTracking.Player.csproj' with 1 target frameworks
10:37:46.206 |I| Build                          | RequestBuilder thread:7        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
10:37:46.207 |I| ProjectModel                   | RequestBuilder thread:7        | Project 'Unity.XR.Interaction.Toolkit.Samples.StarterAssets.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
10:37:46.207 |I| BuildQueue                     | RequestBuilder thread:7        | Build immediately: Unity.XR.Interaction.Toolkit.Samples.StarterAssets.csproj
10:37:46.207 |I| Build                          | RequestBuilder thread:7        | Start build 'Unity.XR.Interaction.Toolkit.Samples.StarterAssets.csproj' with 1 target frameworks
10:37:46.207 |I| Build                          | RequestBuilder thread:7        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
10:37:46.207 |I| ProjectModel                   | RequestBuilder thread:7        | Project 'Unity.Performance.Profile-Analyzer.Editor.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
10:37:46.207 |I| BuildQueue                     | RequestBuilder thread:7        | Build immediately: Unity.Performance.Profile-Analyzer.Editor.csproj
10:37:46.208 |I| Build                          | RequestBuilder thread:7        | Start build 'Unity.Performance.Profile-Analyzer.Editor.csproj' with 1 target frameworks
